"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"08.08.2025","views","","",0
"08.08.2025","visitors","","",0
"08.08.2025","feedback","Нравится","",2
"08.08.2025","members","Новые подписчики","",1
"04.07.2025","views","","",0
"04.07.2025","visitors","","",0
"04.07.2025","members","Новые подписчики","",1
"28.06.2025","views","","",0
"28.06.2025","visitors","","",0
"28.06.2025","members","Новые подписчики","",1
"28.06.2025","members","Отписавшиеся подписчики","",1
"26.02.2025","views","","",0
"26.02.2025","visitors","","",0
"26.02.2025","members","Отписавшиеся подписчики","",1
"04.12.2024","views","","",0
"04.12.2024","visitors","","",0
"04.12.2024","members","Новые подписчики","",1
"22.11.2024","views","","",0
"22.11.2024","visitors","","",0
"22.11.2024","feedback","Нравится","",1
"22.11.2024","members","Отписавшиеся подписчики","",1
"04.11.2024","views","","",0
"04.11.2024","visitors","","",0
"04.11.2024","members","Отписавшиеся подписчики","",2
"29.09.2024","views","","",0
"29.09.2024","visitors","","",0
"29.09.2024","members","Новые подписчики","",1
"17.09.2024","views","","",0
"17.09.2024","visitors","","",0
"17.09.2024","members","Новые подписчики","",1
"15.09.2024","views","","",0
"15.09.2024","visitors","","",0
"15.09.2024","members","Новые подписчики","",1
"11.09.2024","views","","",0
"11.09.2024","visitors","","",0
"11.09.2024","members","Новые подписчики","",1
"08.09.2024","views","","",0
"08.09.2024","visitors","","",0
"08.09.2024","members","Новые подписчики","",1
"08.09.2024","members","Отписавшиеся подписчики","",1
"06.09.2024","views","","",0
"06.09.2024","visitors","","",0
"06.09.2024","members","Новые подписчики","",1
"09.08.2024","views","","",0
"09.08.2024","visitors","","",0
"09.08.2024","feedback","Нравится","",1
"06.08.2024","views","","",0
"06.08.2024","visitors","","",0
"05.08.2024","views","","",0
"05.08.2024","visitors","","",0
"01.08.2024","views","","",0
"01.08.2024","visitors","","",0
"01.08.2024","members","Новые подписчики","",1
"16.07.2024","views","","",0
"16.07.2024","visitors","","",0
"07.07.2024","views","","",0
"07.07.2024","visitors","","",0
"07.07.2024","members","Новые подписчики","",1
"07.07.2024","members","Отписавшиеся подписчики","",1
"06.05.2024","views","","",0
"06.05.2024","visitors","","",0
"06.05.2024","members","Отписавшиеся подписчики","",1
"17.04.2024","views","","",0
"17.04.2024","visitors","","",0
"17.04.2024","members","Отписавшиеся подписчики","",1
"14.04.2024","views","","",0
"14.04.2024","visitors","","",0
"14.04.2024","members","Новые подписчики","",1
"25.02.2024","views","","",0
"25.02.2024","visitors","","",0
"25.02.2024","members","Отписавшиеся подписчики","",1
"21.02.2024","views","","",0
"21.02.2024","visitors","","",0
"22.02.2024","members","Новые подписчики","",1
"20.02.2024","views","","",0
"20.02.2024","visitors","","",0
"21.02.2024","members","Отписавшиеся подписчики","",1
"19.02.2024","views","","",0
"19.02.2024","visitors","","",0
"19.02.2024","members","Новые подписчики","",1
"14.02.2024","views","","",0
"14.02.2024","visitors","","",0
"14.02.2024","members","Новые подписчики","",1
"05.02.2024","views","","",0
"05.02.2024","visitors","","",0
"05.02.2024","members","Новые подписчики","",1
"29.01.2024","views","","",0
"29.01.2024","visitors","","",0
"29.01.2024","members","Новые подписчики","",1
"15.12.2023","views","","",0
"15.12.2023","visitors","","",0
"15.12.2023","members","Отписавшиеся подписчики","",1
"10.12.2023","views","","",0
"10.12.2023","visitors","","",0
"10.12.2023","members","Отписавшиеся подписчики","",1
"18.11.2023","views","","",0
"18.11.2023","visitors","","",0
"18.11.2023","members","Отписавшиеся подписчики","",1
"15.11.2023","views","","",0
"15.11.2023","visitors","","",0
"16.11.2023","members","Отписавшиеся подписчики","",1
"13.11.2023","views","","",0
"13.11.2023","visitors","","",0
"13.11.2023","members","Отписавшиеся подписчики","",1
"11.11.2023","views","","",0
"11.11.2023","visitors","","",0
"11.11.2023","members","Новые подписчики","",1
"31.10.2023","views","","",0
"31.10.2023","visitors","","",0
"31.10.2023","members","Новые подписчики","",1
"25.10.2023","views","","",0
"25.10.2023","visitors","","",0
"25.10.2023","members","Новые подписчики","",1
"25.10.2023","members","Отписавшиеся подписчики","",1
"12.10.2023","views","","",0
"12.10.2023","visitors","","",0
"12.10.2023","members","Новые подписчики","",1
"06.10.2023","views","","",0
"06.10.2023","visitors","","",0
"06.10.2023","members","Отписавшиеся подписчики","",1
"20.09.2023","views","","",0
"20.09.2023","visitors","","",0
"20.09.2023","members","Отписавшиеся подписчики","",1
"08.09.2023","views","","",0
"08.09.2023","visitors","","",0
"08.09.2023","members","Новые подписчики","",1
"03.09.2023","views","","",0
"03.09.2023","visitors","","",0
"03.09.2023","members","Отписавшиеся подписчики","",1
"02.09.2023","views","","",0
"02.09.2023","visitors","","",0
"02.09.2023","members","Отписавшиеся подписчики","",1
"01.09.2023","views","","",0
"01.09.2023","visitors","","",0
"02.09.2023","feedback","Нравится","",2
"17.08.2023","views","","",0
"17.08.2023","visitors","","",0
"17.08.2023","members","Новые подписчики","",1
"02.08.2023","views","","",0
"02.08.2023","visitors","","",0
"02.08.2023","members","Отписавшиеся подписчики","",1
"28.07.2023","views","","",0
"28.07.2023","visitors","","",0
"28.07.2023","feedback","Нравится","",2
"14.07.2023","views","","",0
"14.07.2023","visitors","","",0
"14.07.2023","members","Отписавшиеся подписчики","",1
"06.07.2023","views","","",0
"06.07.2023","visitors","","",0
"06.07.2023","members","Новые подписчики","",1
"18.06.2023","views","","",0
"18.06.2023","visitors","","",0
"18.06.2023","members","Новые подписчики","",1
"14.06.2023","views","","",0
"14.06.2023","visitors","","",0
"14.06.2023","members","Новые подписчики","",1
"28.05.2023","views","","",0
"28.05.2023","visitors","","",0
"28.05.2023","feedback","Нравится","",1
"28.05.2023","members","Новые подписчики","",2
"28.05.2023","members","Отписавшиеся подписчики","",2
"26.05.2023","views","","",0
"26.05.2023","visitors","","",0
"26.05.2023","members","Новые подписчики","",1
"20.05.2023","views","","",0
"20.05.2023","visitors","","",0
"20.05.2023","feedback","Нравится","",1
"19.05.2023","views","","",0
"19.05.2023","visitors","","",0
"19.05.2023","members","Новые подписчики","",1
"19.04.2023","views","","",0
"19.04.2023","visitors","","",0
"19.04.2023","members","Отписавшиеся подписчики","",1
"04.04.2023","views","","",0
"04.04.2023","visitors","","",0
"04.04.2023","members","Новые подписчики","",1
"03.04.2023","views","","",0
"03.04.2023","visitors","","",0
"03.04.2023","members","Новые подписчики","",1
"28.03.2023","views","","",0
"28.03.2023","visitors","","",0
"28.03.2023","feedback","Нравится","",1
